,iso_code,region_group,income_group,country,survey,year,category,sex,location,wealth,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_m,edu0_prim_no,trans_prim_m,trans_prim_no,trans_lowsec_m,trans_lowsec_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no,overage2plus_m,overage2plus_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_m,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_m,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_m,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_m,slevel4_no
27834,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Sex & Wealth,Female,Urban,Quintile 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.541000009,80.0,,,,,0.215399995,33.0,,,,,,,,
27835,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Sex & Wealth,Male,Urban,Quintile 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2861,34.0,,,,,,,,,,,,,,
27836,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Location & Sex & Wealth,Male,Urban,Quintile 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.481400013,97.0,,,,,0.217999995,34.0,,,,,,,,
28293,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Sex & Speaks Language At Home & Wealth,Female,,Quintile 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256500006,41.0,,,,,,,,,,,,,,
28294,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Sex & Speaks Language At Home & Wealth,Female,,Quintile 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2588,48.0,,,,,,,,,,,,,,
28295,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Sex & Speaks Language At Home & Wealth,Female,,Quintile 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267399997,44.0,,,,,,,,,,,,,,
28296,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Sex & Speaks Language At Home & Wealth,Female,,Quintile 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.413199991,77.0,,,,,,,,,,,,,,
28297,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Sex & Speaks Language At Home & Wealth,Female,,Quintile 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54460001,90.0,,,,,0.214300007,34.0,,,,,,,,
28298,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Sex & Speaks Language At Home & Wealth,Male,,Quintile 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211199999,37.0,,,,,,,,,,,,,,
28299,MAR,Northern Africa and Western Asia,Lower middle income,Morocco,PIRLS,2006,Sex & Speaks Language At Home & Wealth,Male,,Quintile 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248899996,50.0,,,,,,,,,,,,,,
